idx_a,idx_b,id_a,database_a,id_b,database_b,compartment,subcompartment,sim,rank
0,1,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,table,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,openLCA,Emission to air,high population density,0.99999976,1
0,8,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,table,7ad7644f-8796-438e-a15b-86345622886b,table,Emission to air,high population density,0.7139708,8
0,9,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,table,7ad7644f-8796-438e-a15b-86345622886b,openLCA,Emission to air,high population density,0.71302044,9
0,75,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,table,89951b1a-9b6b-4bc7-82fc-6fc263e91936,openLCA,Emission to air,high population density,0.67869633,18
0,74,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,table,89951b1a-9b6b-4bc7-82fc-6fc263e91936,table,Emission to air,high population density,0.6535864,27
1,8,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,openLCA,7ad7644f-8796-438e-a15b-86345622886b,table,Emission to air,high population density,0.71407205,8
1,9,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,openLCA,7ad7644f-8796-438e-a15b-86345622886b,openLCA,Emission to air,high population density,0.71312064,9
1,75,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,openLCA,89951b1a-9b6b-4bc7-82fc-6fc263e91936,openLCA,Emission to air,high population density,0.6787742,18
1,74,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,openLCA,89951b1a-9b6b-4bc7-82fc-6fc263e91936,table,Emission to air,high population density,0.65364826,27
2,3,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,9167dca7-615e-435c-8ba6-dbbf50e50e34,openLCA,Emission to air,low population density,1.0000005,0
2,34,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,37198238-6552-54b4-852f-6d037bca7033,openLCA,Emission to air,low population density,0.72567356,8
2,10,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,d7000952-5775-43af-a422-ef7645f260d5,table,Emission to air,low population density,0.7219423,9
2,11,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,d7000952-5775-43af-a422-ef7645f260d5,openLCA,Emission to air,low population density,0.72191525,10
2,66,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,8b953e90-3d44-5f0f-98c8-814f7a2fa006,openLCA,Emission to air,low population density,0.71842533,11
2,18,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,c6b48901-2e98-5091-9005-4bdde53090ed,openLCA,Emission to air,low population density,0.71674854,12
2,64,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,1b0ff6a7-7d3f-5167-8cb3-f179dba7107c,openLCA,Emission to air,low population density,0.7157936,13
2,72,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,ac0d5750-4b04-5c58-a820-265cf76ad7ae,openLCA,Emission to air,low population density,0.7062589,18
2,68,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,19bc6cbe-37d7-5dd1-a4bd-0877d754f51f,openLCA,Emission to air,low population density,0.69618607,20
2,40,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,318d384a-bc73-589e-ba28-ec58ce9d93b5,openLCA,Emission to air,low population density,0.6933683,21
2,70,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,71710f8d-7f66-53ae-8624-aecb0f461b72,openLCA,Emission to air,low population density,0.68980205,22
2,77,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,98f28ebe-22c0-4d0b-a2a2-2fcf910a91dd,openLCA,Emission to air,low population density,0.68909734,23
2,38,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,966ab66b-abaa-590b-96cb-549574e4f281,openLCA,Emission to air,low population density,0.6883155,24
2,16,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,93588cf6-3489-535c-9e3d-155aa5b256a2,openLCA,Emission to air,low population density,0.68472534,25
2,76,9167dca7-615e-435c-8ba6-dbbf50e50e34,table,98f28ebe-22c0-4d0b-a2a2-2fcf910a91dd,table,Emission to air,low population density,0.66623,29
3,34,9167dca7-615e-435c-8ba6-dbbf50e50e34,openLCA,37198238-6552-54b4-852f-6d037bca7033,openLCA,Emission to air,low population density,0.72567356,8
3,10,9167dca7-615e-435c-8ba6-dbbf50e50e34,openLCA,d7000952-5775-43af-a422-ef7645f260d5,table,Emission to air,low population density,0.7219423,9
3,11,9167dca7-615e-435c-8ba6-dbbf50e50e34,openLCA,d7000952-5775-43af-a422-ef7645f260d5,openLCA,Emission to air,low population density,0.72191525,10
3,66,9167dca7-615e-435c-8ba6-dbbf50e50e34,openLCA,8b953e90-3d44-5f0f-98c8-814f7a2fa006,openLCA,Emission to air,low population density,0.71842533,11
3,18,9167dca7-615e-435c-8ba6-dbbf50e50e34,openLCA,c6b48901-2e98-5091-9005-4bdde53090ed,openLCA,Emission to air,low population density,0.71674854,12
3,64,9167dca7-615e-435c-8ba6-dbbf50e50e34,openLCA,1b0ff6a7-7d3f-5167-8cb3-f179dba7107c,openLCA,Emission to air,low population density,0.7157936,13
