ID,Name,Compartment,Subcompartment,CAS Number,Synonym,Formula,Database
20664d0e-24e3-4daa-8c5c-2ade6e0c2723,Formaldehyde,Emission to air,high population density,000050-00-0,,CH2O,table
20664d0e-24e3-4daa-8c5c-2ade6e0c2723,Formaldehyde,Emission to air,high population density,000050-00-0,,CH2O,openLCA
9167dca7-615e-435c-8ba6-dbbf50e50e34,Formaldehyde,Emission to air,low population density,000050-00-0,,CH2O,table
9167dca7-615e-435c-8ba6-dbbf50e50e34,Formaldehyde,Emission to air,low population density,000050-00-0,,CH2O,openLCA
1258b87f-6a94-4c0f-a51a-cef98a3bf534,Formaldehyde,Emission to air,"low population density, long-term",000050-00-0,,CH2O,table
1258b87f-6a94-4c0f-a51a-cef98a3bf534,Formaldehyde,Emission to air,"low population density, long-term",000050-00-0,,CH2O,openLCA
a861cfae-a310-4e9d-b9eb-5d555c9a684c,Formaldehyde,Emission to air,unspecified,000050-00-0,,CH2O,table
a861cfae-a310-4e9d-b9eb-5d555c9a684c,Formaldehyde,Emission to air,unspecified,000050-00-0,,CH2O,openLCA
7ad7644f-8796-438e-a15b-86345622886b,Lactic acid,Emission to air,high population density,000050-21-5,2-hydroxypropanoic acid,C3H6O3,table
7ad7644f-8796-438e-a15b-86345622886b,Lactic acid,Emission to air,high population density,000050-21-5,2-hydroxypropanoic acid,C3H6O3,openLCA
d7000952-5775-43af-a422-ef7645f260d5,Lactic acid,Emission to air,low population density,000050-21-5,2-hydroxypropanoic acid,C3H6O3,table
d7000952-5775-43af-a422-ef7645f260d5,Lactic acid,Emission to air,low population density,000050-21-5,2-hydroxypropanoic acid,C3H6O3,openLCA
ecc93a94-3bd5-4ecc-a6cc-d526e417c6fb,Lactic acid,Emission to air,"low population density, long-term",000050-21-5,2-hydroxypropanoic acid,C3H6O3,table
ecc93a94-3bd5-4ecc-a6cc-d526e417c6fb,Lactic acid,Emission to air,"low population density, long-term",000050-21-5,2-hydroxypropanoic acid,C3H6O3,openLCA
35a27f5c-487b-48c6-bfd5-0a2dbacf2045,Lactic acid,Emission to air,unspecified,000050-21-5,2-hydroxypropanoic acid,C3H6O3,table
35a27f5c-487b-48c6-bfd5-0a2dbacf2045,Lactic acid,Emission to air,unspecified,000050-21-5,2-hydroxypropanoic acid,C3H6O3,openLCA
93588cf6-3489-535c-9e3d-155aa5b256a2,Clofenotane,Emission to air,low population density,000050-29-3,,C14H9Cl5,openLCA
471f6677-a71e-5b71-9e79-3ed1509d01d0,Clofenotane,Emission to air,unspecified,000050-29-3,,C14H9Cl5,openLCA
c6b48901-2e98-5091-9005-4bdde53090ed,"2,3,6-Trichlorobenzoic acid",Emission to air,low population density,000050-31-7,,C7H3Cl3O2,openLCA
a070a663-4011-5686-a7d9-8697678c1d6a,"2,3,6-Trichlorobenzoic acid",Emission to air,unspecified,000050-31-7,,C7H3Cl3O2,openLCA
2cbb504a-ce2f-40e9-9d38-e130e95a1242,Benzo(a)pyrene,Emission to air,high population density,000050-32-8,"benzo[a]pyrene
BaP",C20H12,table
2cbb504a-ce2f-40e9-9d38-e130e95a1242,Benzo(a)pyrene,Emission to air,high population density,000050-32-8,benzo[a]pyrene; BaP,C20H12,openLCA
81c4ba39-8a3f-4a43-97b4-401605bbebf5,Benzo(a)pyrene,Emission to air,low population density,000050-32-8,"benzo[a]pyrene
BaP",C20H12,table
81c4ba39-8a3f-4a43-97b4-401605bbebf5,Benzo(a)pyrene,Emission to air,low population density,000050-32-8,benzo[a]pyrene; BaP,C20H12,openLCA
